limiar,accuracy,precision_risco,recall_risco,f1_risco
0.1,0.5008650519031141,0.48064806480648065,1.0,0.6492401215805471
0.125,0.5025951557093425,0.48151487826871053,1.0,0.6500304321363359
0.15000000000000002,0.5025951557093425,0.48151487826871053,1.0,0.6500304321363359
0.17500000000000002,0.504325259515571,0.4823848238482385,1.0,0.6508226691042047
0.2,0.5060553633217993,0.48322756119673616,0.99812734082397,0.6511912034208919
0.225,0.5086505190311419,0.4844890510948905,0.9943820224719101,0.6515337423312884
0.25,0.509515570934256,0.4847926267281106,0.9850187265917603,0.6497838171710932
0.275,0.5077854671280276,0.48378127896200185,0.9775280898876404,0.6472411655300682
0.30000000000000004,0.5155709342560554,0.4877126654064272,0.9662921348314607,0.6482412060301508
0.325,0.5207612456747405,0.49034749034749037,0.951310861423221,0.6471337579617834
0.35,0.5242214532871973,0.4921104536489152,0.9344569288389513,0.6447028423772609
0.375,0.5320069204152249,0.4964824120603015,0.9250936329588015,0.6461739699149771
0.4,0.5363321799307958,0.49897750511247446,0.9138576779026217,0.6455026455026455
0.42500000000000004,0.5493079584775087,0.5068349106203995,0.9026217228464419,0.6491582491582492
0.45000000000000007,0.5614186851211073,0.5146579804560261,0.8876404494382022,0.6515463917525773
0.475,0.5674740484429066,0.5188470066518847,0.8764044943820225,0.6518105849582173
0.5,0.5717993079584776,0.522439585730725,0.850187265917603,0.647184604419102
0.525,0.5813148788927336,0.5297619047619048,0.8333333333333334,0.6477438136826783
0.55,0.596885813148789,0.5425,0.8127340823970037,0.6506746626686657
0.5750000000000001,0.6012110726643599,0.5467349551856594,0.799625468164794,0.6494296577946768
0.6,0.6124567474048442,0.5568783068783069,0.7883895131086143,0.6527131782945736
0.625,0.6150519031141869,0.5613793103448276,0.7621722846441947,0.6465448768864178
0.65,0.620242214532872,0.5681492109038737,0.7415730337078652,0.6433793663688059
0.675,0.6185121107266436,0.5709923664122137,0.700374531835206,0.6291000841042893
0.7000000000000001,0.6254325259515571,0.5831960461285008,0.6629213483146067,0.6205083260297984
0.725,0.629757785467128,0.5949820788530465,0.6217228464419475,0.608058608058608
0.75,0.6349480968858131,0.6129032258064516,0.5692883895131086,0.5902912621359223
0.775,0.653114186851211,0.654292343387471,0.5280898876404494,0.5844559585492228
0.8,0.657439446366782,0.6927374301675978,0.46441947565543074,0.5560538116591929
0.8250000000000001,0.6608996539792388,0.7649253731343284,0.3838951310861423,0.5112219451371571
0.85,0.6358131487889274,0.775609756097561,0.29775280898876405,0.43031123139377536
0.875,0.620242214532872,0.8368794326241135,0.2209737827715356,0.3496296296296296
0.9,0.5942906574394463,0.8350515463917526,0.15168539325842698,0.25673534072900156
